,sample,boot_med,boot_low,boot_high,actual_med
0,B4-e003Coalescence-Inoculumn-mBHI,0.41000000000000003,0.404,0.416,0.41000000000000003
1,B4-e003Coalescence-mBHI-p3,0.86,0.8525,0.868,0.86
2,B4-e003Coalescence-mGAM-p5,0.772,0.767,0.777,0.772
3,C3-e003Coalescence-mBHI-inoculumn-redo,0.426,0.422,0.42951249999999996,0.426
4,C3-e003Coalescence-mBHI-p5,0.108,0.105,0.111,0.108
5,C3-e003Coalescence-mBHI-p7,0.30500000000000005,0.30100000000000005,0.30900000000000005,0.30500000000000005
6,C3-e003Coalescence-mGAM-p3,0.883,0.881,0.8850125,0.883
7,C3-e003Coalescence-mGAM-p5,0.642,0.638,0.649,0.643
8,C3-e003Coalescence-mGAM-p7,0.688,0.685,0.69,0.688
9,F4-e003Coalescence-mBHI-p3_S23,0.792,0.781,0.806,0.792
10,F4-e003Coalescence-mBHI-p5_S15,0.656,0.649,0.66,0.656
11,F4-e003Coalescence-mBHI-p7_S111,0.5740000000000001,0.567,0.5805125,0.574
12,F4-e003Coalescence-mGAM-p3_S71,0.846,0.843,0.849,0.846
13,F4-e003Coalescence-mGAM-p5_S63,0.472,0.46599999999999997,0.479,0.472
14,F4-e003Coalescence-mGAM-p7_S159,0.8605,0.857,0.863,0.8605
15,G3-e003Coalescence-mBHI-p3_S34,0.624,0.6094875,0.636,0.623
16,G3-e003Coalescence-mBHI-p5_S26,0.33099999999999996,0.326,0.333,0.33099999999999996
17,G3-e003Coalescence-mBHI-p7_S122,0.226,0.221,0.23099999999999998,0.226
18,G3-e003Coalescence-mGAM-p3_S82,0.812,0.808,0.816,0.812
19,G3-e003Coalescence-mGAM-p5_S74,0.608,0.604,0.613,0.608
