,sample,boot_med,boot_low,boot_high,actual_med
0,C11-e003Coalescence-mBHI-p3,0.16800000000000004,0.165,0.172,0.16800000000000004
1,C11-e003Coalescence-mBHI-p5,0.216,0.21299999999999997,0.221,0.216
2,C11-e003Coalescence-mGAM-p3,0.165,0.162,0.168,0.165
3,C11-e003Coalescence-mGAM-p5,0.1,0.098,0.103,0.1
4,C11-e003Coalescence-mGAM-p7,0.119,0.117,0.122,0.119
5,C5-e003Coalescence-Inoculumn-mGAM,0.578,0.573,0.582,0.578
6,D10-e003Coalescence-mBHI-p3,0.30500000000000005,0.299,0.311,0.3055
7,D10-e003Coalescence-mBHI-p5,0.435,0.43,0.439,0.435
8,D10-e003Coalescence-mBHI-p7,0.471,0.46699999999999997,0.476,0.471
9,D10-e003Coalescence-mGAM-p3,0.125,0.123,0.129,0.125
10,D10-e003Coalescence-mGAM-p5,0.11599999999999999,0.114,0.118,0.11599999999999999
11,D10-e003Coalescence-mGAM-p7,0.109,0.108,0.11099999999999999,0.109
12,D4-e003Coalescence-Inoculumn-mGAM,0.595,0.588,0.6,0.595
13,G111-e003Coalescence-mBHI-p3_S132,0.312,0.30000000000000004,0.333,0.312
14,G111-e003Coalescence-mBHI-p5_S32,0.418,0.413,0.423,0.418
15,G111-e003Coalescence-mBHI-p7_S128,0.459,0.455,0.465,0.459
16,G111-e003Coalescence-mGAM-p3_S180,0.128,0.126,0.13,0.128
17,G111-e003Coalescence-mGAM-p5_S80,0.082,0.08,0.084,0.082
18,G111-e003Coalescence-mGAM-p7_S176,0.004902514684643436,0.00420895885574791,0.005721008776648775,0.08514265388517994
19,H100-e003Coalescence-mBHI-p5_S43,0.444,0.441,0.45,0.444
20,H100-e003Coalescence-mBHI-p7_S139,0.30700000000000005,0.302,0.313,0.30700000000000005
21,H100-e003Coalescence-mGAM-p5_S91,0.30600000000000005,0.30200000000000005,0.31,0.30600000000000005
22,H100-e003Coalescence-mGAM-p7_S187,0.16700000000000004,0.167,0.174,0.16700000000000004
