,sample,boot_med,boot_low,boot_high,actual_med
0,A3-e003Coalescence-Inoculumn-mGAM,0.9229411539106382,0.9181252522681819,0.927792440026387,0.8751152950132856
1,A9-e003Coalescence-mBHI-p1_S756,0.33799999999999997,0.333,0.342,0.33799999999999997
2,A9-e003Coalescence-mBHI-p3,0.86,0.853,0.865,0.86
3,A9-e003Coalescence-mBHI-p5,0.9676821138270283,0.9654277710884014,0.9698093472542717,0.9661023313932575
4,A9-e003Coalescence-mBHI-p7,0.868,0.862,0.8770249999999999,0.868
5,A9-e003Coalescence-mGAM-p1_S760,0.545,0.533,0.556,0.545
6,A9-e003Coalescence-mGAM-p5,0.889,0.88,0.9,0.889
7,A9-e003Coalescence-mGAM-p7,0.9586098057467682,0.9555870912835619,0.9617551686836129,0.9458462725368287
8,B2-e003Coalescence-Inoculumn-mGAM,0.742,0.733,0.75,0.7415
9,B8-e003Coalescence-mBHI-p1_S749,0.308,0.3,0.312,0.308
10,B8-e003Coalescence-mBHI-p5,0.833,0.8260000000000001,0.844,0.833
11,B8-e003Coalescence-mBHI-p7,0.969955091587708,0.967983319229275,0.9721482990759123,0.9688783225901968
12,B8-e003Coalescence-mGAM-p1_S753,0.25,0.08658340236845748,0.273,0.25
13,B8-e003Coalescence-mGAM-p5,0.9894123913513481,0.9880289654449038,0.9907750798985775,0.9807233092295901
14,B8-e003Coalescence-mGAM-p7,0.9620483219384461,0.9592253678976306,0.9645969495060969,0.9567751847781759
15,Coalescence-D10-A9-AA-ACPP-mGAM-mGAM-3_S665,0.9745466555199536,0.972674996801308,0.9762350766436333,0.9735788833723058
16,Coalescence-E1-B8-AA-ACPP-mGAM-mBHI-3_S668,0.838,0.833,0.844,0.838
17,E9-e003Coalescence-mBHI-p1_S820,0.476,0.471,0.481,0.476
18,E9-e003Coalescence-mBHI-p5_S6,0.833,0.812,0.857,0.833
19,E9-e003Coalescence-mBHI-p7_S102,0.9836494195531554,0.982196248318148,0.9849967804028864,0.9824705168441005
20,E9-e003Coalescence-mGAM-p1_S824,0.8938862580753146,0.8875671162255019,0.9009921300160539,0.683038078486377
21,E9-e003Coalescence-mGAM-p3_S154,0.9862932328161267,0.9850891862682948,0.9874675843683687,0.9855868425037099
22,E9-e003Coalescence-mGAM-p5_S54,0.9927553832039442,0.9913779121336249,0.9941911454687301,0.9270477698621964
23,F8-e003Coalescence-mBHI-p1_S813,0.45499999999999996,0.44399999999999995,0.462,0.45499999999999996
24,F8-e003Coalescence-mBHI-p3_S117,0.9632906883341343,0.9609779994908664,0.9657678345312006,0.9611982491703186
25,F8-e003Coalescence-mBHI-p5_S17,0.9760360434405222,0.9742259458718896,0.9778332786275821,0.9745750479612905
26,F8-e003Coalescence-mBHI-p7_S113,0.9838293334537374,0.9821762233038299,0.9853198650937811,0.9801677900103463
27,F8-e003Coalescence-mGAM-p1_S817,0.4,0.375,0.429,0.4
28,F8-e003Coalescence-mGAM-p5_S65,0.989430171859749,0.9876302057920446,0.9912130142780685,0.8470446665933727
29,F8-e003Coalescence-mGAM-p7_S161,0.9791509676421123,0.9769316511890943,0.9814691009501466,0.9216562387518216
