,C4-e003Coalescence-mBHI-inoculumn-redo,D5-e003Coalescence-Inoculumn-mBHI
C5-e003Coalescence-mBHI-inoculumn-redo,0.0001313197636244255,
C5-e003Coalescence-mBHI-p5,0.011424819435325017,
C5-e003Coalescence-mBHI-p7,0.0007879185817465528,
C5-e003Coalescence-mGAM-p3,0.0,
C5-e003Coalescence-mGAM-p7,0.0003939592908732764,
D4-e003Coalescence-Inoculumn-mBHI,0.0,
D4-e003Coalescence-mBHI-p3,0.1654629021667761,
D4-e003Coalescence-mBHI-p5,0.10833880499015101,
D4-e003Coalescence-mBHI-p7,0.2928430728824688,
D4-e003Coalescence-mGAM-p3,0.0,
D4-e003Coalescence-mGAM-p5,0.0,
D4-e003Coalescence-mGAM-p7,0.0,
G5-e003Coalescence-mBHI-p3_S36,0.14891661195009848,
G5-e003Coalescence-mBHI-p5_S28,0.03834537097833224,
G5-e003Coalescence-mBHI-p7_S124,0.0984898227183191,
G5-e003Coalescence-mGAM-p3_S84,0.0,
G5-e003Coalescence-mGAM-p5_S76,0.000262639527248851,
G5-e003Coalescence-mGAM-p7_S172,0.0009192383453709783,
H4-e003Coalescence-mBHI-p3_S47,0.2606697307944846,
H4-e003Coalescence-mBHI-p5_S39,0.4961260669730794,
H4-e003Coalescence-mBHI-p7_S135,0.10833880499015101,
H4-e003Coalescence-mGAM-p3_S95,0.004990151017728168,
H4-e003Coalescence-mGAM-p5_S87,0.37701904136572556,
H4-e003Coalescence-mGAM-p7_S183,0.06263952724885095,
C5-e003Coalescence-mBHI-inoculumn-redo,,0.0
C5-e003Coalescence-mBHI-p5,,0.03712328767123288
C5-e003Coalescence-mBHI-p7,,0.002191780821917808
C5-e003Coalescence-mGAM-p3,,0.000136986301369863
C5-e003Coalescence-mGAM-p7,,0.0
D4-e003Coalescence-Inoculumn-mBHI,,0.0
D4-e003Coalescence-mBHI-p3,,0.06205479452054795
D4-e003Coalescence-mBHI-p5,,0.06191780821917808
D4-e003Coalescence-mBHI-p7,,0.03602739726027397
D4-e003Coalescence-mGAM-p3,,0.0
D4-e003Coalescence-mGAM-p5,,0.0
D4-e003Coalescence-mGAM-p7,,0.0
G5-e003Coalescence-mBHI-p3_S36,,0.036301369863013695
G5-e003Coalescence-mBHI-p5_S28,,0.0027397260273972603
G5-e003Coalescence-mBHI-p7_S124,,0.0073972602739726025
G5-e003Coalescence-mGAM-p3_S84,,0.011643835616438357
G5-e003Coalescence-mGAM-p5_S76,,0.0
G5-e003Coalescence-mGAM-p7_S172,,0.0
H4-e003Coalescence-mBHI-p3_S47,,0.009589041095890411
H4-e003Coalescence-mBHI-p5_S39,,0.01547945205479452
H4-e003Coalescence-mBHI-p7_S135,,0.15684931506849314
H4-e003Coalescence-mGAM-p3_S95,,0.12232876712328768
H4-e003Coalescence-mGAM-p5_S87,,0.000547945205479452
H4-e003Coalescence-mGAM-p7_S183,,0.00041095890410958907
