,sample,boot_med,boot_low,boot_high,actual_med
0,A_H10_D3_ACPP_AF_mBHI_mGAM_4_S94,0.169,0.167,0.171,0.169
1,B5-e003Coalescence-Inoculumn-mBHI,0.188,0.18799999999999994,0.192,0.188
2,B5-e003Coalescence-mBHI-p1_S741,0.5,0.5,0.5,0.5
3,B5-e003Coalescence-mBHI-p3,0.3,0.294,0.30000000000000004,0.3
4,B5-e003Coalescence-mBHI-p5,0.33299999999999996,0.30000000000000004,0.333,0.33299999999999996
5,B5-e003Coalescence-mBHI-p7,0.17600000000000005,0.158,0.19999999999999996,0.17600000000000005
6,B5-e003Coalescence-mGAM-p1_S745,0.629,0.625,0.632,0.629
7,B5-e003Coalescence-mGAM-p3,0.289,0.286,0.292,0.289
8,B5-e003Coalescence-mGAM-p5,0.35,0.346,0.353,0.35
9,B5-e003Coalescence-mGAM-p7,0.0,0.0,0.0,0.0
10,B_D2_H3_ACPP_AF_mBHI_mBHI_2_S134,0.643,0.636,0.647,0.643
11,B_H2_H3_ACPP_AF_mBHI_mGAM_2_S182,0.127,0.126,0.128,0.127
12,Coalescence-B4-D3-ACPP-AF-mBHI-mGAM-7_S635,0.147,0.14300000000000002,0.14800000000000002,0.147
13,Coalescence-E11-D3-ACPP-AF-mBHI-mBHI-3_S678,0.34,0.33899999999999997,0.342,0.34
14,D3-e003Coalescence-Inoculumn-mBHI,0.216,0.21348749999999997,0.219,0.216
15,D3-e003Coalescence-mBHI-p1_S727,0.538,0.533,0.545,0.538
16,D3-e003Coalescence-mBHI-p5,0.5,0.5,0.5,0.5
17,D3-e003Coalescence-mBHI-p7,0.161,0.15800000000000003,0.167,0.161
18,D3-e003Coalescence-mGAM-p1_S731,0.609,0.607,0.611,0.609
19,D3-e003Coalescence-mGAM-p3,0.0,0.0,0.0,0.0
20,D3-e003Coalescence-mGAM-p5,0.226,0.224,0.228,0.226
21,F5-e003Coalescence-mBHI-p1_S805,0.5,0.5,0.5,0.5
22,F5-e003Coalescence-mBHI-p3_S24,0.375,0.368,0.375,0.375
23,F5-e003Coalescence-mBHI-p5_S16,0.385,0.375,0.4,0.385
24,F5-e003Coalescence-mBHI-p7_S112,0.19,0.16700000000000004,0.2,0.18999999999999995
25,F5-e003Coalescence-mGAM-p1_S809,0.612,0.61,0.614,0.612
26,F5-e003Coalescence-mGAM-p3_S72,0.41700000000000004,0.417,0.429,0.41700000000000004
27,F5-e003Coalescence-mGAM-p5_S64,0.444,0.443,0.449,0.444
28,F5-e003Coalescence-mGAM-p7_S160,0.386,0.383,0.389,0.386
29,H3-e003Coalescence-mBHI-p1_S791,0.44399999999999995,0.43799999999999994,0.444,0.44399999999999995
30,H3-e003Coalescence-mBHI-p3_S46,0.368,0.364,0.375,0.368
31,H3-e003Coalescence-mBHI-p5_S38,0.444,0.44399999999999995,0.4470749999999999,0.444
32,H3-e003Coalescence-mBHI-p7_S134,0.0,0.0,0.0,0.0
33,H3-e003Coalescence-mGAM-p3_S94,0.143,0.143,0.146025,0.143
34,H3-e003Coalescence-mGAM-p5_S86,0.333,0.33299999999999996,0.333,0.333
35,H3-e003Coalescence-mGAM-p7_S182,0.375,0.375,0.385,0.375
